N,mu,mu_tag,p_nash,p_monopoly,old_grid_min,new_grid_min,floor_applied,old_min_profit,new_min_profit
5,0.13,m13,1.1624908527853828,1.9671116571079754,1.047545023596441,1.047545023596441,False,0.009507753838061654,0.009507753838061654
5,0.16,m16,1.1999327409913003,1.993446654960303,1.0865736104243,1.0865736104243,False,0.01730324564156997,0.01730324564156997
5,0.19,m19,1.2372824770686937,2.0246054616620865,1.1248077649839232,1.1248077649839232,False,0.024911784439361574,0.024911784439361574
5,0.22,m22,1.2744858513814332,2.0594658915186375,1.1623458456475468,1.1623458456475468,False,0.032325622680296526,0.032325622680296526
5,0.25,m25,1.3115050548364615,2.0972299137913994,1.1992586464143276,1.1992586464143276,False,0.03953041416834776,0.03953041416834776
5,0.28,m28,1.3483247964694045,2.137316357511158,1.2356117163205826,1.2356117163205826,False,0.04651557531888812,0.04651557531888812
5,0.31,m31,1.384912801844444,2.179284883181866,1.271431075939098,1.271431075939098,False,0.05327037094182454,0.05327037094182454
7,0.01,m01,1.0116673724253311,1.973776356070902,0.8742232319045353,1.0,True,-0.017968109727923523,0.0
7,0.04,m04,1.0466674989314226,1.952733829156097,0.9172294517564692,1.0,True,-0.011824364034787151,0.0
7,0.07,m07,1.0816678923322243,1.958352524117892,0.9564272306485575,1.0,True,-0.006224681037740912,0.0
7,0.1,m10,1.1166639874622435,1.9774105052548907,0.993700199206151,1.0,True,-0.0008999660614354687,0.0
7,0.13,m13,1.1516603163116395,2.0050858916960013,1.0297423769710163,1.0297423769710163,False,0.004248562836257385,0.004248562836257385
7,0.16,m16,1.1866323958170395,2.0388035608794173,1.0648936579509856,1.0648936579509856,False,0.009266688763926886,0.009266688763926886
7,0.19,m19,1.2215654370979756,2.0769728666076723,1.0993643757394476,1.0993643757394476,False,0.014177215613565585,0.014177215613565585
7,0.22,m22,1.256450283152822,2.118529257023767,1.1332961440284013,1.1332961440284013,False,0.018989524321422258,0.018989524321422258
7,0.25,m25,1.2912481639401925,2.162732096097363,1.166750459346311,1.166750459346311,False,0.023700668346840585,0.023700668346840585
7,0.28,m28,1.3259563681515385,2.2090349168291716,1.1998022897690195,1.1998022897690195,False,0.028311065547372036,0.028311065547372036
7,0.31,m31,1.360579083783923,2.2570338629774387,1.2325141153277064,1.2325141153277064,False,0.03282197442453915,0.03282197442453915
10,0.01,m01,1.0111117288117992,1.9773065424249616,0.8730838982956332,1.0,True,-0.012691610170436685,0.0
10,0.04,m04,1.0444455218030997,1.9664060681243718,0.9127368723286322,1.0,True,-0.008726312767135412,0.0
10,0.07,m07,1.0777703595424597,1.9815177949184897,0.9486635830601697,1.0,True,-0.005133641539913444,0.0
10,0.1,m10,1.1111002706690127,2.0094873967651776,0.9827592526552749,1.0,True,-0.0017240681467697648,0.0
10,0.13,m13,1.1444303997714143,2.0455738945904063,1.0156956147972724,1.0156956147972724,False,0.0015694806699428428,0.0015694806699428428
10,0.16,m16,1.177754059850948,2.0872804248391317,1.047821721995493,1.047821721995493,False,0.004780927753405153,0.004780927753405153
10,0.19,m19,1.2110615738890267,2.1330858339255023,1.0793438224552445,1.0793438224552445,False,0.00792814816659317,0.00792814816659317
10,0.22,m22,1.2443345546657079,2.181986845145629,1.1103842274542906,1.1103842274542906,False,0.01101910367731455,0.01101910367731455
10,0.25,m25,1.2775852068198101,2.2332854498834767,1.1410566006678577,1.1410566006678577,False,0.014060384937791725,0.014060384937791725
10,0.28,m28,1.310797084777621,2.2864837962244717,1.1714132688566423,1.1714132688566423,False,0.01705289330712562,0.01705289330712562
10,0.31,m31,1.343958572729586,2.3412069682836107,1.2014945162218682,1.2014945162218682,False,0.01999729006805507,0.01999729006805507
