strategy_set,N,mu,K,experiment_name,runs_to_rerun
3strats,10,0.1,20,scan_3strats_mu0.1_k20,100
4strats,10,0.1,20,scan_4strats_mu0.1_k20,100
3strats,10,0.1,30,scan_3strats_mu0.1_k30,100
4strats,10,0.1,30,scan_4strats_mu0.1_k30,100
3strats,10,0.1,40,scan_3strats_mu0.1_k40,100
4strats,10,0.1,40,scan_4strats_mu0.1_k40,100
3strats,10,0.1,50,scan_3strats_mu0.1_k50,100
4strats,10,0.1,50,scan_4strats_mu0.1_k50,100
3strats,10,0.1,60,scan_3strats_mu0.1_k60,100
4strats,10,0.1,60,scan_4strats_mu0.1_k60,100
3strats,10,0.1,70,scan_3strats_mu0.1_k70,100
4strats,10,0.1,70,scan_4strats_mu0.1_k70,100
3strats,10,0.1,80,scan_3strats_mu0.1_k80,100
4strats,10,0.1,80,scan_4strats_mu0.1_k80,100
3strats,10,0.1,90,scan_3strats_mu0.1_k90,100
4strats,10,0.1,90,scan_4strats_mu0.1_k90,100
3strats,10,0.1,100,scan_3strats_mu0.1_k100,100
4strats,10,0.1,100,scan_4strats_mu0.1_k100,100
